Book ID,Name,Author,Year,Genre,User Rating,Reviews,Price
6bf26c9f-252d-4387-941b-303ae5b737e9,"Oh, the Places You'll Go!",Dr. Seuss,2015,Fiction,4.9,21834,8.0
e03a8072-ddf0-4381-b818-70633f0ee298,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2015,Fiction,4.8,10922,5.0
5c50ce67-3712-4535-a54c-13cdb9024266,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2015,Non Fiction,4.5,22641,11.0
731d8ac4-6643-495c-9051-196cb77f616c,The Girl on the Train,Paula Hawkins,2015,Fiction,4.1,79446,18.0
dd1f832e-b0c0-4c73-983a-90bcba490e09,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2015,Non Fiction,4.7,23308,6.0
991af77f-4cfb-4061-b08c-7f805fcd4519,The Day the Crayons Quit,Drew Daywalt,2015,Fiction,4.8,8922,9.0
2f3d45ad-f202-4560-976e-0b68346f8a05,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2015,Non Fiction,4.8,23358,12.0
ec71878b-c054-43c1-b99b-2a4c0ebfd987,The Book with No Pictures,B. J. Novak,2015,Fiction,4.8,8081,8.0
ba8fd28c-5e40-4e64-82a5-2caf557ab80c,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,2015,Non Fiction,4.6,2134,5.0
08c12cef-26b9-44b2-a11a-c84b8bea0a8a,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2015,Non Fiction,4.7,4725,16.0
6b371c2b-0afc-4249-b48c-d61dc3113d64,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,2015,Non Fiction,4.7,5413,9.0
c7f33d35-ca6a-42e7-adce-93e04ab410ae,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2015,Non Fiction,4.8,25554,8.0
9adb9767-346e-4c53-b6e1-fb01ac9ff8a5,StrengthsFinder 2.0,Gallup,2015,Non Fiction,4.0,5069,17.0
